team_name,team_code,Jersey Number,player_name,player_id,Short Display Name,Display Name
Deportivo Alavés,ALA,1,Antonio Sivera,c7i0lduij4vsnluxisdnaxsk5,Sivera,A. Sivera
Deportivo Alavés,ALA,2,F. Garcés,658ed5dqfrdd5fe7ayo9eo1rd,Garcés,F. Garcés
Deportivo Alavés,ALA,3,Y. Enríquez,2ww626a9v31b072prdx0xf1g4,Enríquez,Y. Enríquez
Deportivo Alavés,ALA,4,Denis Suárez,28psc296gj3umo59qqha8jil1,Suárez,D. Suárez
Deportivo Alavés,ALA,5,Jon Pacheco,7bs0ph4yksf6lvkg91u9nqzqi,Pacheco,J. Pacheco
Deportivo Alavés,ALA,6,Ander Guevara,cme92rbmqszu51sjm99ho8a21,Guevara,A. Guevara
Deportivo Alavés,ALA,7,Carlos Vicente,bb2v7p23g1w8kb3nhuuwnil4a,Vicente,C. Vicente
Deportivo Alavés,ALA,7,Ángel Pérez,350ehsdbvwysbfxgeian91rf8,Pérez,Á. Pérez
Deportivo Alavés,ALA,8,Antonio Blanco,4zve4017u2i3zvxlnjruv25t5,Blanco,A. Blanco
Deportivo Alavés,ALA,9,M. Díaz,eufpzdp76oumhybvscmu76vo5,Díaz,M. Díaz
Deportivo Alavés,ALA,10,Carles Aleñá,eiqt71z69beq7akuhot0foset,Aleñá,C. Aleñá
Deportivo Alavés,ALA,11,Toni Martínez,1nd8l0ofw9x779c0ufwbbo4ph,Martínez,T. Martínez
Deportivo Alavés,ALA,14,N. Tenaglia,9tw6rz3lfmn06fzsabtx9ei95,Tenaglia,N. Tenaglia
Deportivo Alavés,ALA,15,L. Boyé,9ivrglgy0tibv881e1a93psr9,Boyé,L. Boyé
Deportivo Alavés,ALA,16,V. Koski,5ol17485ecah0trdmkw3byqne,Koski,V. Koski
Deportivo Alavés,ALA,17,Jonny,7wzwqegxhekjwq361dd2nidp1,Jonny,Jonny
Deportivo Alavés,ALA,18,Jon Guridi,bccp1nvtoc3n1q4g4sw1p7ro5,Guridi,J. Guridi
Deportivo Alavés,ALA,19,Pablo Ibáñez,eqw6fu3no9qxejk17tqgeey5m,Ibáñez,P. Ibáñez
Deportivo Alavés,ALA,20,Calebe,evyeubmelkx90xby5p9i38woa,Calebe,Calebe
Deportivo Alavés,ALA,21,A. Rebbach,1ttc96b92xjfx1ta3vdwya0dm,Rebbach,A. Rebbach
Deportivo Alavés,ALA,22,M. Diarra,c44zop1hvob3cmgu2grj8m0yy,Diarra,M. Diarra
Deportivo Alavés,ALA,22,I. Diabate,4psxc0t1nm2o7a984utuzwciy,Diabate,I. Diabate
Deportivo Alavés,ALA,23,C. Protesoni,16mj3l623plqx1hm9zvpvn5yh,Protesoni,C. Protesoni
Deportivo Alavés,ALA,24,Víctor Parada,6azcxbumsgd8es7mcd9b3t94a,Parada,V. Parada
Deportivo Alavés,ALA,28,Lander Pinillos,an5bw8oxg9ig8mj9pbn8qjthw,Pinillos,L. Pinillos
Deportivo Alavés,ALA,29,Diego Morcillo,87ycnbfm44w6j3komxt0cihp0,Morcillo,D. Morcillo
Deportivo Alavés,ALA,30,Carlos Ballestero,adhdg45s949jxd16ccqhm3ehg,Ballestero,C. Ballestero
Deportivo Alavés,ALA,34,Aitor Mañas,9nqvf6si8k5u91rjslfvgc650,Mañas,A. Mañas
Athletic Club,ATH,1,Unai Simón,4vlurpsi44g09g159t61u83bp,Simón,U. Simón
