player_id,player_name,team_code,contestant_id,Team Formation,Team Player Formation,Jersey Number,matches,pp_z1,pp_z2,pp_z3,pp_z4,pp_z5,pp_z6,pp_z7,pp_z8,pp_z9,pp_z10,pp_z11,pp_z12,pp_z13,pp_z14,pp_z15,pp_z16,pp_z17,pp_z18,cross_ttl_z10,cross_ttl_z12,cross_ttl_z13,cross_ttl_z15,cross_ttl_z16,cross_ttl_z18,cross_suc_z10,cross_suc_z12,cross_suc_z13,cross_suc_z15,cross_suc_z16,cross_suc_z18,to_ttl_z10,to_ttl_z11,to_ttl_z12,to_ttl_z13,to_ttl_z14,to_ttl_z15,to_ttl_z16,to_ttl_z17,to_ttl_z18,to_suc_z10,to_suc_z11,to_suc_z12,to_suc_z13,to_suc_z14,to_suc_z15,to_suc_z16,to_suc_z17,to_suc_z18,shot_z10,shot_z11,shot_z12,shot_z13,shot_z14,shot_z15,shot_z16,shot_z17,shot_z18,goal_z10,goal_z11,goal_z12,goal_z13,goal_z14,goal_z15,goal_z16,goal_z17,goal_z18,tackle_ttl_z1,tackle_ttl_z2,tackle_ttl_z3,tackle_ttl_z4,tackle_ttl_z5,tackle_ttl_z6,tackle_ttl_z7,tackle_ttl_z8,tackle_ttl_z9,tackle_ttl_z10,tackle_ttl_z11,tackle_ttl_z12,tackle_ttl_z13,tackle_ttl_z14,tackle_ttl_z15,tackle_ttl_z16,tackle_ttl_z17,tackle_ttl_z18,tackle_suc_z1,tackle_suc_z2,tackle_suc_z3,tackle_suc_z4,tackle_suc_z5,tackle_suc_z6,tackle_suc_z7,tackle_suc_z8,tackle_suc_z9,tackle_suc_z10,tackle_suc_z11,tackle_suc_z12,tackle_suc_z13,tackle_suc_z14,tackle_suc_z15,tackle_suc_z16,tackle_suc_z17,tackle_suc_z18,int_z1,int_z2,int_z3,int_z4,int_z5,int_z6,int_z7,int_z8,int_z9,int_z10,int_z11,int_z12,int_z13,int_z14,int_z15,int_z16,int_z17,int_z18,chall_z1,chall_z2,chall_z3,chall_z4,chall_z5,chall_z6,chall_z7,chall_z8,chall_z9,chall_z10,chall_z11,chall_z12,chall_z13,chall_z14,chall_z15,chall_z16,chall_z17,chall_z18,disp_z1,disp_z2,disp_z3,disp_z4,disp_z5,disp_z6,disp_z7,disp_z8,disp_z9,disp_z10,disp_z11,disp_z12,disp_z13,disp_z14,disp_z15,disp_z16,disp_z17,disp_z18,recovery_z1,recovery_z2,recovery_z3,recovery_z4,recovery_z5,recovery_z6,recovery_z7,recovery_z8,recovery_z9,recovery_z10,recovery_z11,recovery_z12,recovery_z13,recovery_z14,recovery_z15,recovery_z16,recovery_z17,recovery_z18,aerial_ttl_z2,aerial_ttl_z17,aerial_suc_z2,aerial_suc_z17,team_name
4vlurpsi44g09g159t61u83bp,Unai Simón,ATH,3czravw89omgc9o4s0w3l1bg5,8,1.0,1.0,37,11,269,8,15,111,14,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,10,4,21,3,1,2,0,0,0,0,0,0,0,0,0,0,5,0,5,0,Athletic Club
3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,ATH,3czravw89omgc9o4s0w3l1bg5,8,9.0,11.0,33,1,0,0,0,0,1,0,2,3,4,5,4,2,8,7,0,0,0,0,0,2,3,0,2,0,0,0,1,0,0,4,0,0,7,5,5,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1,10,1,2,53,2,0,0,0,0,0,0,0,8,0,1,0,2,3,0,0,1,0,1,1,3,1,3,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,3,1,2,0,2,0,0,1,2,4,2,3,3,6,8,6,4,5,4,1,0,2,4,28,4,18,Athletic Club
1qkneebzln8byl9td2aswznmy,Alberto Moleiro,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,11.0,20.0,33,0,0,0,4,5,1,18,13,3,17,13,3,11,10,4,1,0,0,1,0,3,1,10,0,0,0,0,0,2,0,8,5,0,11,6,2,8,3,3,2,3,0,5,3,0,4,0,0,0,0,0,2,13,0,3,24,0,0,0,0,0,4,0,0,6,0,4,0,0,3,1,0,8,1,0,6,1,0,3,1,0,0,0,0,3,0,0,1,1,0,6,1,0,3,1,0,2,0,0,0,0,0,1,0,0,2,0,0,2,1,0,2,2,0,1,0,0,0,0,0,6,0,0,13,2,1,13,3,1,2,4,0,2,1,0,2,0,0,0,0,0,0,2,0,4,1,0,6,2,0,3,3,0,0,0,0,7,0,0,24,14,0,15,6,1,13,4,0,9,1,0,1,0,0,0,0,0,0,Villarreal CF
8hm6d6395johhjsoe8jz6dcyd,Yuri,ATH,3czravw89omgc9o4s0w3l1bg5,8,3.0,17.0,31,24,1,0,88,5,0,124,10,0,111,10,1,35,2,0,4,0,0,0,0,18,0,43,0,0,0,6,0,7,0,2,1,0,5,0,0,7,0,0,1,1,0,2,0,0,2,0,0,0,0,0,9,5,1,3,3,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,6,3,0,3,0,0,2,2,0,4,0,0,8,0,0,7,0,0,2,3,0,2,0,0,2,2,0,2,0,0,0,0,0,8,2,0,9,1,0,10,0,0,4,0,0,0,0,0,1,1,0,4,0,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,6,0,0,3,0,0,4,0,0,2,0,0,1,0,0,19,2,1,40,7,0,26,6,0,25,3,1,3,0,0,4,0,0,19,6,9,2,Athletic Club
9d5h5wxf44qu4fw3jk2pgis16,Dani Vivian,ATH,3czravw89omgc9o4s0w3l1bg5,8,5.0,3.0,31,0,3,5,3,29,53,2,41,66,1,25,31,0,1,0,0,0,0,0,2,0,5,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,1,0,0,0,0,3,2,8,0,4,11,1,2,8,1,3,2,0,0,2,0,0,0,2,1,7,0,1,9,0,0,6,1,2,1,0,0,1,0,0,0,0,1,2,2,3,8,2,3,2,1,2,3,0,0,1,0,0,0,0,3,5,0,0,2,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,2,2,0,2,0,1,2,0,0,1,8,3,24,24,2,18,17,2,7,10,0,2,1,0,0,0,9,7,4,3,Athletic Club
bfdtduknquzhr2br7ahlgvvo4,Renato Veiga,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,6.0,12.0,31,41,17,1,61,52,1,56,34,3,26,14,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,2,3,0,7,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,3,3,0,1,2,3,2,1,0,1,0,0,0,0,0,1,1,0,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,5,0,20,14,2,8,10,6,3,5,0,0,0,0,0,0,1,19,7,10,5,Villarreal CF
4x854vpovag131b2kdutv4qju,Sergi Cardona,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,3.0,23.0,31,10,0,0,57,2,0,33,4,1,26,1,0,14,1,1,2,0,0,0,0,16,0,56,1,0,0,2,0,17,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,7,0,0,0,0,0,0,0,0,1,0,9,0,0,22,1,0,6,0,0,4,0,0,2,1,0,1,0,0,6,0,0,17,1,0,2,0,0,2,0,0,2,0,0,0,0,0,5,0,0,18,0,0,6,0,0,2,0,0,2,0,0,0,0,0,7,0,0,6,0,0,4,0,0,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,12,1,0,22,4,0,16,2,1,3,0,0,4,0,0,1,0,0,11,4,2,4,Villarreal CF
acx78ftnm61hm01wpmme77hbe,T. Buchanan,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,7.0,17.0,31,0,0,0,1,3,6,1,3,11,0,1,7,0,1,11,1,0,1,0,0,0,5,0,27,0,0,0,2,0,1,0,1,22,2,0,21,2,0,14,0,0,7,0,0,5,0,0,3,0,0,0,1,4,6,0,10,4,0,0,0,0,0,3,0,2,2,0,0,5,0,2,4,0,0,5,0,0,2,0,0,4,0,0,1,0,0,3,0,1,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,4,0,0,4,0,1,0,0,0,2,0,0,3,1,0,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,2,0,0,5,0,0,4,1,0,8,0,1,5,0,0,7,0,4,31,0,6,16,0,1,14,0,1,10,0,0,3,2,1,0,1,Villarreal CF
8aao79b1g77c5jhp1n0w60xrd,C. Hernández,BET,ah8dala7suqqkj04n2l8xz4zd,8,9.0,19.0,30,0,0,0,1,2,1,5,4,5,5,5,1,8,5,3,2,0,0,0,0,1,3,3,11,0,0,0,1,1,1,3,3,1,9,9,1,6,4,3,1,3,0,6,5,1,2,2,1,0,0,0,4,13,2,4,48,1,0,0,0,0,2,0,0,6,0,2,0,1,1,0,1,4,1,1,3,3,0,1,3,0,2,0,1,1,0,1,0,0,0,3,0,1,1,2,0,1,2,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,3,1,2,3,3,6,6,8,6,5,1,0,0,0,1,4,2,2,8,2,4,5,11,7,2,8,7,0,0,2,6,14,3,8,Real Betis Balompié
b5rea5r4h8bclpenau2au142x,Santi Comesaña,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,4.0,14.0,30,1,4,1,3,19,17,6,32,28,11,19,20,3,4,10,0,1,0,0,0,1,9,0,1,0,0,0,1,0,0,0,2,3,2,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,6,0,0,18,0,0,0,0,0,0,0,0,3,0,0,6,1,1,4,5,2,0,2,3,2,5,2,3,4,0,0,2,0,5,1,0,1,4,1,0,1,1,1,4,1,2,1,0,0,0,0,2,1,1,5,6,0,2,2,1,0,2,0,2,0,0,0,0,0,0,0,1,3,1,0,2,2,0,1,3,0,1,3,1,1,0,0,1,0,0,2,4,1,2,4,0,1,2,0,1,5,0,1,2,1,5,5,6,19,19,6,12,10,5,7,6,2,5,6,0,0,1,7,6,4,3,Villarreal CF
