team_code,team_full_name,team_display_name,Colour1,HEX1,Colour2,HEX2,Colour3,HEX3,Text,HEXT,team_logo
ARS,Arsenal,Arsenal,Red,#EF0107,White,#FFFFFF,Gold,#9C824A,White,#FFFFFF,arsenal.football-logos.cc.png
AVL,Aston Villa,Aston Villa,Claret,#670E36,White,#FFFFFF,Lgiht blue,#95BFE5,White,#FFFFFF,aston-villa.football-logos.cc.png
BHA,Brighton & Hove Albion,Brighton,Blue,#0057B8,White,#FFFFFF,Yellow,#FFAF17,White,#FFFFFF,brighton.football-logos.cc.png
BOU,AFC Bournemouth,Bournemouth,Red,#DA291C,White,#FFFFFF,Black,#000000,White,#FFFFFF,bournemouth.football-logos.cc.png
BRE,Brentford,Brentford,Red,#E30613,White,#FFFFFF,Black,#000000,White,#FFFFFF,brentford.football-logos.cc.png
BUR,Burnley,Burnley,Claret,#6C1D45,White,#FFFFFF,Lgiht blue,#99D6EA,White,#FFFFFF,burnley.football-logos.cc.png
CHE,Chelsea,Chelsea,Blue,#034694,White,#FFFFFF,Yellow,#FFDD00,White,#FFFFFF,chelsea.football-logos.cc.png
CRY,Crystal Palace,Crystal Palace,Blue,#1B458F,White,#FFFFFF,Red,#C4122E,White,#FFFFFF,crystal-palace.football-logos.cc.png
EVE,Everton,Everton,Blue,#003399,White,#FFFFFF,Black,#1B1B1B,White,#FFFFFF,everton.football-logos.cc.png
FUL,Fulham,Fulham,Black,#1A1A1A,White,#FFFFFF,Red,#CC0000,White,#FFFFFF,fulham.football-logos.cc.png
LEE,Leeds United,Leeds United,Blue,#1D428A,White,#FFFFFF,Yellow,#FFCD00,White,#FFFFFF,leeds-united.football-logos.cc.png
LIV,Liverpool,Liverpool,Red,#C8102E,White,#FFFFFF,Green,#006757,White,#FFFFFF,liverpool.football-logos.cc.png
MCI,Manchester City,Manchester City,Light blue,#6CABDD,White,#FFFFFF,Blue,#1C2C5B,Black,#000000,manchester-city.football-logos.cc.png
MUN,Manchester United,Manchester United,Red,#DA291C,White,#FFFFFF,Black,#000000,White,#FFFFFF,manchester-united.football-logos.cc.png
NEW,Newcastle United,Newcastle,Black,#241F20,White,#FFFFFF,Blue,#41B6E6,White,#FFFFFF,newcastle.football-logos.cc.png
NFO,Nottingham Forest,Nottingham Forest,Red,#DD0000,White,#FFFFFF,Gold,#D4AF37,White,#FFFFFF,nottingham-forest.football-logos.cc.png
SUN,Sunderland,Sunderland,Red,#EB172B,White,#FFFFFF,Black,#000000,White,#FFFFFF,sunderland.football-logos.cc.png
TOT,Tottenham Hotspur,Spurs,Navy,#132257,White,#FFFFFF,Yellow,#F7E017,White,#FFFFFF,tottenham.football-logos.cc.png
WHU,West Ham United,West Ham,Claret,#7A263A,White,#FFFFFF,Light blue,#1BB1E7,White,#FFFFFF,west-ham.football-logos.cc.png
WOL,Wolverhampton Wanderers,Wolves,Orange,#FDB913,White,#FFFFFF,Black,#231F20,Black,#000000,wolves.football-logos.cc.png
